address,lat_truth,lon_truth,bbox_nom_s,bbox_nom_w,bbox_nom_n,bbox_nom_e,country0,bbox0_s,bbox0_w,bbox0_n,bbox0_e,admin1,bbox1_s,bbox1_w,bbox1_n,bbox1_e,admin2,bbox2_s,bbox2_w,bbox2_n,bbox2_e,gpt35_lat,gpt35_lon,gpt35_s,gpt35_w,gpt35_n,gpt35_e,gpt4_lat,gpt4_lon,gpt4_s,gpt4_w,gpt4_n,gpt4_e,ds_lat,ds_lon,ds_s,ds_w,ds_n,ds_e,dist_gpt35_km,dist_gpt4_km,dist_ds_km,iou_gpt35,iou_gpt4,iou_ds
"Роснефть, Ryazan', Russia",54.6166016,39.6777682,54.6163648,39.6774751,54.6168383,39.6781351,Russia,41.188865663,-179.99999999999994,81.85624700000005,180.0000000000001,Ryazan',53.30566787700013,38.59634800000015,55.32586670000006,42.73571777400019,Ryazan',54.52181625500009,39.54244995200014,54.64978027400019,39.81547927900016,54.6269,39.6916,54.6259,39.6906,54.6279,39.6926,54.6269,39.6916,54.6031,39.6542,54.6507,39.729,54.62,39.68,54.62,39.68,54.62,39.68,1.4506086227642643,1.4506086227642643,0.40428271562043905,0.0662293502364533,0.08189203354304826,0.5407775798174169
"Пристань, Luhans'k, Ukraine",48.9597996,38.48396,48.9597496,38.48391,48.9598496,38.48401,Ukraine,44.38597106900016,22.140447617000177,52.375034333000144,40.21807098400001,Luhans'k,47.8196792600001,37.85425186200007,50.08589935400005,40.21807098400001,Sieverodonets'ka,48.90005874600001,38.4188003540001,49.00128555400005,38.575378419000174,48.573405,39.355983,48.573305,39.355883,48.573505,39.356083,48.567,39.317,48.566,39.316,48.568,39.318,48.96,38.48,48.96,38.48,48.96,38.48,77.0105759777817,75.07180802854909,0.2899737111974179,0.0,0.0,0.5207715133527577
"Thuc don, Thái Nguyên, Vietnam",21.5931874,105.8250194,21.5931374,105.8249694,21.5932374,105.8250694,Vietnam,8.381355000000099,102.14458465500007,23.39269256700004,109.46917000000008,Thái Nguyên,21.32526588400009,105.47750854500008,22.047624588000133,106.23783874400016,Thái Nguyên,21.580888748000064,105.81394195500012,21.60322952200005,105.82870483500004,21.594149,105.848007,21.593149,105.847007,21.595149,105.849007,21.590233,105.813883,21.570233,105.793883,21.610233,105.833883,21.59,105.825,21.59,105.82,21.59,105.83,2.379113818154847,1.1973664190034514,0.3544283849722751,0.0,0.15999999999984083,0.49927285266630367
"Навруз, Toshkent, Uzbekistan",41.0194562,69.3037879,40.9994562,69.2837879,41.0394562,69.3237879,Uzbekistan,37.17719268800016,55.99777600000016,45.57110595600011,73.13459777800011,Toshkent,40.19488144000013,68.67401885900017,42.28817367600016,71.27127075200002,O'rtachirchiq,40.91988754300013,69.18768310600007,41.25022125300012,69.51947021600012,41.3111,69.2797,41.3106,69.2792,41.3116,69.2802,41.2995,69.2401,41.2646,69.2167,41.3344,69.2635,41.02,69.3,41.0,69.28,41.04,69.32,32.49193673269918,31.59260151497461,0.32348666137274745,0.0,0.0,0.15999999999997727
"Government dispensary Ramnagar, Punjab, India",30.106456,75.2264263,30.106406,75.2263763,30.106506,75.2264763,India,6.754256000000055,68.18624900000009,33.25571060100009,97.17215728800004,Punjab,27.69840049700008,69.26175689700011,34.02439498900014,76.93139648300019,Bathinda,29.777008057000103,74.62185669000002,30.17869186400003,75.29254150300017,31.1048,75.3039,31.1047,75.3038,31.1049,75.304,31.2451,75.9592,31.2401,75.9542,31.2501,75.9642,30.11,75.23,30.11,75.23,30.11,75.23,111.25811559625426,144.71063106142452,0.5229415929376329,0.0,0.0,0.46607443243063973
"FAHAD ULLAH KHAN, Khyber-Pakhtunkhwa, Pakistan",33.0184685,70.7014998,33.0184185,70.7014498,33.0185185,70.7015498,Pakistan,23.70291500000002,60.899436949999995,36.88980484000007,75.36699676400013,Khyber-Pakhtunkhwa,31.242120743000157,70.04020691000017,36.88980484000007,74.12648773200016,Bannu,32.710292816000106,70.37516021800013,33.10134506200012,70.97212219300008,34.015137,71.524909,33.999999,71.499999,34.03,71.549999,34.9526205,72.331113,31.3650145,69.2896108,37.084107,73.6757922,33.02,70.7,33.02,70.7,33.02,70.7,134.56859412447514,262.34336663663515,0.2203500524021919,0.0,1.5881757212737844e-05,0.6400000000001137
"Voyage Tacos, Bretagne, France",48.3538605,-1.2035597,48.3538105,-1.2036097,48.3539105,-1.2035097,France,41.33375200000012,-5.143750999999895,51.089397432000055,9.560416222000129,Bretagne,47.27875137299998,-5.143750999999895,49.105694000000085,-1.0182030199998735,Ille-et-Vilaine,48.33014679000013,-1.2183240649999334,48.37303924500014,-1.1732790469999372,48.202047,-2.932644,48.201947,-2.932744,48.202147,-2.932544,48.202047,-2.932644,47.279229,-5.266267,48.908599,-1.011972,48.35,-1.2,48.35,-1.2,48.35,-1.2,129.06187098500047,129.06187098500047,0.5034512093407755,0.0,5.721840755863777e-05,0.45190119751749735
"Netto Marken-Discount, Berlin, Germany",52.5235118,13.4265666,52.5233091,13.4262212,52.5237168,13.4268082,Germany,47.27069713400016,5.86625051600015,55.05652600000013,15.041814803000136,Berlin,52.33824157700019,13.088333130000024,52.67491531300004,13.760469436000108,Berlin,52.33824157700019,13.088333130000024,52.67491531300004,13.760469436000108,52.5200066,13.404954,52.5199066,13.404854,52.5201066,13.405054,52.52,13.405,52.3381,13.0883,52.6755,13.7611,52.52,13.43,52.52,13.43,52.52,13.43,1.513311753078122,1.510494373039883,0.4543646202802416,0.0,0.0016863070852901128,0.47430246126970754
"14, Chaiyaphum, Thailand",16.1349294,102.2468655,16.1348794,102.2468155,16.1349794,102.2469155,Thailand,5.616042137000079,97.34519195600012,20.463211059,105.63912963900007,Chaiyaphum,15.31405162800013,101.31819915800004,16.729749679000122,102.46084594700012,Kaeng Khlo,16.05113029500012,102.21517181500012,16.172979354000176,102.31900024500015,15.8046,102.0381,15.8036,102.0371,15.8056,102.0391,15.8105,102.0288,15.7955,101.9988,15.8255,102.0588,16.13,102.25,16.13,102.25,16.13,102.25,42.979582101386676,42.95147655436069,0.6422941063300932,0.0,0.0,0.4208391313593662
"Oficina de turismo, Aragón, Spain",41.6524971,-0.8813693,41.6524471,-0.8814193,41.6525471,-0.8813193,Spain,27.637361527000053,-18.16152763299982,43.79152679400016,4.328195000000164,Aragón,39.84680175700004,-2.1736040109998953,42.92450332600015,0.7713345620001633,Zaragoza,41.451675002000115,-1.1735969999999725,41.93136200000009,-0.6486170099998958,41.648822,-0.889085,40.727,-1.787,42.229,0.191,41.303911,-0.581176,40.645,-1.799,42.863,0.015,41.65,-0.88,41.65,-0.88,41.65,-0.88,0.7602392766840002,46.128464358385386,0.30006846392758035,0.00013307357371750443,9.842829695428516e-05,0.6080260108013273
"Pane e Vino, Niedersachsen, Germany",53.4769516,9.6989765,53.4769016,9.6989265,53.4770016,9.6990265,Germany,47.27069713400016,5.86625051600015,55.05652600000013,15.041814803000136,Niedersachsen,51.295230865000065,6.630277156999966,53.89208221400003,11.598078727000145,Stade,53.41167450000012,9.598278046000075,53.50918600000006,9.7837324140001,52.375,9.732,52.3745,9.7315,52.3755,9.7325,52.375892,9.73201,52.375792,9.73191,52.375992,9.73211,53.48,9.7,53.48,9.7,53.48,9.7,122.55141824520669,122.45226027463903,0.3456670552290707,0.0,0.0,0.5739930283627971
"Elmalouf, Guelma, Algeria",36.3178474,7.1677752,36.3177974,7.1677252,36.3178974,7.1678252,Algeria,18.96023082700009,-8.673868178999953,37.08869781300013,11.987367153000037,Guelma,36.02588817100019,6.941607407000106,36.67432800400002,7.961420695000015,Oued Zenati,36.22278340700001,7.088234209000063,36.37504997300016,7.234326569000018,36.4625,7.4264,36.4615,7.4254,36.4635,7.4274,36.4654,7.4289,36.46,7.42,36.47,7.44,36.32,7.17,36.32,7.17,36.32,7.17,28.189201305210183,28.556944106798458,0.3114863542998965,0.0,0.0,0.6157472479674957
"Jammian, Kalimantan Barat, Indonesia",1.1765214,108.9765886,1.1764714,108.9765386,1.1765714,108.9766386,Indonesia,-11.007614999999872,95.00970500000012,6.076941000000147,141.01939400000003,Kalimantan Barat,-3.0676519989999633,108.67784099900008,2.080966235000119,114.20114135800009,Sambas,1.1053562170000646,108.90431976300005,1.1924760339999807,108.9859771720001,0.0,0.0,0.0,0.0,0.0,0.0,-0.7893,113.9213,-4.72564,108.5643,4.225682,119.6347,1.18,108.98,1.18,108.98,1.18,108.98,12117.181919538509,591.6567666594324,0.5417074814457375,0.0,4.028398911601405e-06,0.47696817640371897
"Hôtel Raha فندق راحة, Hodh ech Chargui, Mauritania",16.2401003,-8.1829726,16.2400503,-8.1830226,16.2401503,-8.1829226,Mauritania,14.715551376000008,-17.066520999999966,27.298070908000113,-4.829955323999911,Hodh ech Chargui,15.49407100600007,-9.149676321999891,23.158079148000127,-5.327115059999926,Timbédra,15.49588966400006,-8.750412939999933,17.023109436000084,-7.657668112999829,16.6175,-9.6161,16.6174,-9.6162,16.6176,-9.616,16.65271,-7.98667,16.65261,-7.98677,16.65281,-7.98657,16.24,-8.18,16.24,-8.18,16.24,-8.18,158.50570698974948,50.43060657762833,0.3175449699831104,0.0,0.0,0.5785866644079686
"نقابة المحاميين ببورسعيد, Bur Sa`id, Egypt",31.2705409,32.3026897,31.2704909,32.3026397,31.2705909,32.3027397,Egypt,21.72538900000012,24.698099190000164,31.667917251000063,36.2487489990001,Bur Sa`id,30.8973808290001,31.971096000000102,31.366806031000124,32.54996094500012,Al-'Arab,31.249109268000097,32.283939362000126,31.27291679400014,32.30491256700003,31.2565,32.2841,31.2555,32.2831,31.2575,32.2851,31.2591,32.2909,31.2156,32.2417,31.2841,32.3321,31.2654,32.3121,31.27,32.3,31.27,32.3,2.3578774404425173,1.6953184585246122,1.0614653388549344,0.0028183055097158473,0.050752404395174984,0.5959703694474944
